timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665959291044,54,Bikes-1,404,Not Found,Thread Group 1-5,text,false,,11204,135,7,7,https://rangers-bikes.firebaseapp.com/allbikes,54,0,0
1665959290950,155,Bikes,404,Not Found,Thread Group 1-9,text,false,,11598,270,6,6,https://rangers-bikes.firebaseapp.com/allbikes,95,0,47
1665959290950,95,Bikes-0,301,Moved Permanently,Thread Group 1-9,,true,,395,135,6,6,http://rangers-bikes.firebaseapp.com/allbikes,95,0,47
1665959291045,60,Bikes-1,404,Not Found,Thread Group 1-9,text,false,,11203,135,6,6,https://rangers-bikes.firebaseapp.com/allbikes,60,0,0
1665959290966,148,About,404,Not Found,Thread Group 1-6,text,false,,11596,264,6,6,https://rangers-bikes.firebaseapp.com/about,95,0,47
1665959290966,95,About-0,301,Moved Permanently,Thread Group 1-6,,true,,392,132,6,6,http://rangers-bikes.firebaseapp.com/about,95,0,47
1665959291061,53,About-1,404,Not Found,Thread Group 1-6,text,false,,11204,132,6,6,https://rangers-bikes.firebaseapp.com/about,53,0,0
1665959290977,142,Rannger,200,OK,Thread Group 1-7,text,true,,4005,254,6,6,https://rangers-bikes.firebaseapp.com/,94,0,48
1665959290977,94,Rannger-0,301,Moved Permanently,Thread Group 1-7,,true,,387,127,6,6,http://rangers-bikes.firebaseapp.com/,94,0,48
1665959291071,48,Rannger-1,200,OK,Thread Group 1-7,text,true,,3618,127,6,6,https://rangers-bikes.firebaseapp.com/,48,0,0
1665959291020,147,Bikes,404,Not Found,Thread Group 1-10,text,false,,11598,270,6,6,https://rangers-bikes.firebaseapp.com/allbikes,93,0,47
1665959291020,93,Bikes-0,301,Moved Permanently,Thread Group 1-10,,true,,395,135,6,6,http://rangers-bikes.firebaseapp.com/allbikes,93,0,47
1665959291113,54,Bikes-1,404,Not Found,Thread Group 1-10,text,false,,11203,135,6,6,https://rangers-bikes.firebaseapp.com/allbikes,54,0,0
1665959291089,140,Rannger,200,OK,Thread Group 1-8,text,true,,4005,254,6,6,https://rangers-bikes.firebaseapp.com/,95,0,48
1665959291089,95,Rannger-0,301,Moved Permanently,Thread Group 1-8,,true,,387,127,6,6,http://rangers-bikes.firebaseapp.com/,95,0,48
1665959291185,44,Rannger-1,200,OK,Thread Group 1-8,text,true,,3618,127,6,6,https://rangers-bikes.firebaseapp.com/,44,0,0
1665959291076,160,Bikes,404,Not Found,Thread Group 1-1,text,false,,11599,270,6,6,https://rangers-bikes.firebaseapp.com/allbikes,94,0,47
1665959291076,94,Bikes-0,301,Moved Permanently,Thread Group 1-1,,true,,395,135,6,6,http://rangers-bikes.firebaseapp.com/allbikes,94,0,47
1665959291171,65,Bikes-1,404,Not Found,Thread Group 1-1,text,false,,11204,135,6,6,https://rangers-bikes.firebaseapp.com/allbikes,65,0,0
1665959291106,148,Rannger,200,OK,Thread Group 1-9,text,true,,4005,254,5,5,https://rangers-bikes.firebaseapp.com/,93,0,47
1665959291106,93,Rannger-0,301,Moved Permanently,Thread Group 1-9,,true,,387,127,5,5,http://rangers-bikes.firebaseapp.com/,93,0,47
1665959291199,55,Rannger-1,200,OK,Thread Group 1-9,text,true,,3618,127,5,5,https://rangers-bikes.firebaseapp.com/,55,0,0
1665959291114,147,Bikes,404,Not Found,Thread Group 1-6,text,false,,11599,270,5,5,https://rangers-bikes.firebaseapp.com/allbikes,94,0,47
1665959291114,94,Bikes-0,301,Moved Permanently,Thread Group 1-6,,true,,395,135,5,5,http://rangers-bikes.firebaseapp.com/allbikes,94,0,47
1665959291208,53,Bikes-1,404,Not Found,Thread Group 1-6,text,false,,11204,135,5,5,https://rangers-bikes.firebaseapp.com/allbikes,53,0,0
1665959291119,148,About,404,Not Found,Thread Group 1-7,text,false,,11596,264,4,4,https://rangers-bikes.firebaseapp.com/about,94,0,47
1665959291119,94,About-0,301,Moved Permanently,Thread Group 1-7,,true,,392,132,4,4,http://rangers-bikes.firebaseapp.com/about,94,0,47
1665959291213,54,About-1,404,Not Found,Thread Group 1-7,text,false,,11204,132,4,4,https://rangers-bikes.firebaseapp.com/about,54,0,0
1665959291167,142,Rannger,200,OK,Thread Group 1-10,text,true,,4004,254,4,4,https://rangers-bikes.firebaseapp.com/,94,0,47
1665959291167,94,Rannger-0,301,Moved Permanently,Thread Group 1-10,,true,,387,127,4,4,http://rangers-bikes.firebaseapp.com/,94,0,47
1665959291261,48,Rannger-1,200,OK,Thread Group 1-10,text,true,,3617,127,4,4,https://rangers-bikes.firebaseapp.com/,48,0,0
1665959291229,144,About,404,Not Found,Thread Group 1-8,text,false,,11596,264,4,4,https://rangers-bikes.firebaseapp.com/about,95,0,48
1665959291229,95,About-0,301,Moved Permanently,Thread Group 1-8,,true,,392,132,4,4,http://rangers-bikes.firebaseapp.com/about,95,0,48
1665959291324,49,About-1,404,Not Found,Thread Group 1-8,text,false,,11204,132,4,4,https://rangers-bikes.firebaseapp.com/about,49,0,0
1665959291255,150,About,404,Not Found,Thread Group 1-9,text,false,,11595,264,4,4,https://rangers-bikes.firebaseapp.com/about,90,0,46
1665959291255,90,About-0,301,Moved Permanently,Thread Group 1-9,,true,,392,132,4,4,http://rangers-bikes.firebaseapp.com/about,90,0,46
1665959291345,60,About-1,404,Not Found,Thread Group 1-9,text,false,,11203,132,4,4,https://rangers-bikes.firebaseapp.com/about,60,0,0
1665959291267,148,Bikes,404,Not Found,Thread Group 1-7,text,false,,11599,270,4,4,https://rangers-bikes.firebaseapp.com/allbikes,95,0,48
1665959291267,95,Bikes-0,301,Moved Permanently,Thread Group 1-7,,true,,395,135,4,4,http://rangers-bikes.firebaseapp.com/allbikes,95,0,48
1665959291362,53,Bikes-1,404,Not Found,Thread Group 1-7,text,false,,11204,135,4,4,https://rangers-bikes.firebaseapp.com/allbikes,53,0,0
1665959291309,152,About,404,Not Found,Thread Group 1-10,text,false,,11595,264,3,3,https://rangers-bikes.firebaseapp.com/about,98,0,45
1665959291309,98,About-0,301,Moved Permanently,Thread Group 1-10,,true,,392,132,3,3,http://rangers-bikes.firebaseapp.com/about,98,0,45
1665959291407,54,About-1,404,Not Found,Thread Group 1-10,text,false,,11203,132,3,3,https://rangers-bikes.firebaseapp.com/about,54,0,0
1665959291374,142,Bikes,404,Not Found,Thread Group 1-8,text,false,,11599,270,3,3,https://rangers-bikes.firebaseapp.com/allbikes,93,0,46
